Codigo;Nombre del Curso;Horas Trabajo Docente;Horas Trabajo Independiente;Número Créditos
2536302;Física Ondas;4;8;3
2555331;Cálculo Vectorial;4;8;3
2598531;Ecuaciones Diferenciales;4;8;3
2598532;Circuitos Eléctricos I;4;11;4
2599431;Probabilidad y Estadistica;4;8;3
2538301;Ingles III;4;8;3
